scientific_name,n,prop_grids_cut
Centropus sinensis,38,1
Cinnyris asiaticus,38,1
Copsychus saularis,36,1
Corvus macrorhynchos,39,1
Corvus splendens,40,1
Halcyon smyrnensis,38,1
Leptocoma zeylonica,39,1
Orthotomus sutorius,40,1
Pericrocotus flammeus,31,1
Psilopogon viridis,34,1
Pycnonotus cafer,38,1
Streptopelia chinensis,37,1
Acridotheres tristis,39,0.975
Acrocephalus dumetorum,35,0.9722222222222222
Pycnonotus jocosus,35,0.9722222222222222
Dinopium benghalense,35,0.9459459459459459
Loriculus vernalis,30,0.9375
Phylloscopus trochiloides,30,0.9375
Chalcophaps indica,28,0.9333333333333333
Myophonus horsfieldii,28,0.9333333333333333
Dicrurus macrocercus,37,0.925
Merops leschenaulti,33,0.9166666666666666
Turdoides striata,32,0.9142857142857143
Psittacula columboides,29,0.90625
Sitta frontalis,26,0.896551724137931
Motacilla cinerea,30,0.8823529411764706
Acridotheres fuscus,29,0.8787878787878788
Chrysocolaptes guttacristatus,29,0.8787878787878788
Dicrurus leucophaeus,29,0.8787878787878788
Gracula indica,28,0.875
Iole indica,27,0.8709677419354839
Leptocoma minima,26,0.8666666666666667
Dendrocitta vagabunda,32,0.8648648648648649
Oriolus kundoo,32,0.8648648648648649
Pavo cristatus,31,0.8611111111111112
Psilopogon haemacephalus,31,0.8611111111111112
Aegithina tiphia,29,0.8529411764705882
Motacilla maderaspatensis,29,0.8529411764705882
Dicrurus paradiseus,28,0.8484848484848485
Dicaeum concolor,27,0.84375
Irena puella,26,0.8387096774193549
Saxicola caprata,26,0.8387096774193549
Dicaeum erythrorhynchos,31,0.8378378378378378
Merops orientalis,29,0.8285714285714286
Pomatorhinus horsfieldii,24,0.8275862068965517
Zosterops palpebrosus,23,0.8214285714285714
Eudynamys scolopaceus,32,0.8205128205128205
Chloropsis aurifrons,27,0.8181818181818182
Hierococcyx varius,27,0.8181818181818182
Psittacula cyanocephala,27,0.8181818181818182
Turdoides affinis,30,0.8108108108108109
Oriolus xanthornus,27,0.7941176470588235
Columba livia,30,0.7894736842105263
Muscicapa dauurica,24,0.7741935483870968
Terpsiphone paradisi,27,0.7714285714285715
Psittacula krameri,30,0.7692307692307693
Pericrocotus cinnamomeus,23,0.7419354838709677
Prinia hodgsonii,23,0.7419354838709677
Dicrurus aeneus,25,0.7352941176470589
Pellorneum ruficeps,22,0.7333333333333333
Chloropsis jerdoni,23,0.71875
Turdus simillimus,20,0.7142857142857143
Parus cinereus,22,0.7096774193548387
Cyornis tickelliae,21,0.7
Cinnyris lotenius,23,0.696969696969697
Passer domesticus,24,0.6857142857142857
Alcippe poioicephala,20,0.6666666666666666
Cypsiurus balasiensis,24,0.6666666666666666
Upupa epops,22,0.6666666666666666
Lanius cristatus,22,0.6470588235294118
Geokichla citrina,19,0.6333333333333333
Yungipicus nanus,19,0.6333333333333333
Ocyceros griseus,18,0.6206896551724138
Prinia socialis,21,0.6176470588235294
Pycnonotus luteolus,21,0.6176470588235294
Phylloscopus nitidus,18,0.6
Psilopogon zeylanicus,12,0.6
Cecropis daurica,20,0.5882352941176471
Artamus fuscus,19,0.5757575757575758
Ficedula nigrorufa,10,0.5555555555555556
Hirundo rustica,21,0.5526315789473685
Lanius schach,16,0.5517241379310345
Hypothymis azurea,17,0.5483870967741935
Montecincla fairbanki,6,0.5454545454545454
Dendrocitta leucogastra,14,0.5384615384615384
Hypsipetes ganeesa,14,0.5384615384615384
Turdoides subrufa,15,0.5357142857142857
Culicicapa ceylonensis,14,0.5185185185185185
Rubigula gularis,14,0.5185185185185185
Copsychus fulicatus,16,0.5161290322580645
Treron affinis,16,0.5161290322580645
Picus xanthopygaeus,15,0.5
Psilopogon malabaricus,14,0.5
