X,Y,nchk
625000,1175000,31
650000,1125000,51
650000,1150000,1692
650000,1175000,3145
650000,1225000,1076
650000,1250000,565
650000,1275000,40
675000,1100000,19
675000,1125000,3977
675000,1150000,3746
675000,1175000,828
675000,1200000,282
675000,1225000,1841
675000,1250000,978
675000,1275000,2188
700000,1100000,462
700000,1125000,2950
700000,1150000,6841
700000,1175000,796
700000,1225000,3196
700000,1250000,3304
700000,1275000,645
725000,1100000,1646
725000,1125000,5105
725000,1150000,12022
725000,1175000,34
725000,1200000,8
725000,1250000,114
725000,1275000,83
750000,1100000,358
750000,1125000,1311
750000,1150000,1289
750000,1175000,133
750000,1200000,8
775000,1100000,14
775000,1125000,765
775000,1150000,194
775000,1175000,3
800000,1125000,127
800000,1150000,177
825000,1150000,1
