scientific_name,n_grids
Acridotheres fuscus,33
Acridotheres tristis,40
Acrocephalus dumetorum,36
Aegithina tiphia,34
Alcippe poioicephala,30
Artamus fuscus,33
Cecropis daurica,34
Centropus sinensis,38
Chalcophaps indica,30
Chloropsis aurifrons,33
Chloropsis jerdoni,32
Chrysocolaptes guttacristatus,33
Cinnyris asiaticus,38
Cinnyris lotenius,33
Columba livia,38
Copsychus fulicatus,31
Copsychus saularis,36
Corvus macrorhynchos,39
Corvus splendens,40
Culicicapa ceylonensis,27
Cyornis tickelliae,30
Cypsiurus balasiensis,36
Dendrocitta leucogastra,26
Dendrocitta vagabunda,37
Dicaeum concolor,32
Dicaeum erythrorhynchos,37
Dicrurus aeneus,34
Dicrurus leucophaeus,33
Dicrurus macrocercus,40
Dicrurus paradiseus,33
Dinopium benghalense,37
Eudynamys scolopaceus,39
Ficedula nigrorufa,18
Geokichla citrina,30
Gracula indica,32
Halcyon smyrnensis,38
Hierococcyx varius,33
Hirundo rustica,38
Hypothymis azurea,31
Hypsipetes ganeesa,26
Iole indica,31
Irena puella,31
Lanius cristatus,34
Lanius schach,29
Leptocoma minima,30
Leptocoma zeylonica,39
Loriculus vernalis,32
Merops leschenaulti,36
Merops orientalis,35
Montecincla fairbanki,11
Motacilla cinerea,34
Motacilla maderaspatensis,34
Muscicapa dauurica,31
Myophonus horsfieldii,30
Ocyceros griseus,29
Oriolus kundoo,37
Oriolus xanthornus,34
Orthotomus sutorius,40
Parus cinereus,31
Passer domesticus,35
Pavo cristatus,36
Pellorneum ruficeps,30
Pericrocotus cinnamomeus,31
Pericrocotus flammeus,31
Phylloscopus nitidus,30
Phylloscopus trochiloides,32
Picus xanthopygaeus,30
Pomatorhinus horsfieldii,29
Prinia hodgsonii,31
Prinia socialis,34
Psilopogon haemacephalus,36
Psilopogon malabaricus,28
Psilopogon viridis,34
Psilopogon zeylanicus,20
Psittacula columboides,32
Psittacula cyanocephala,33
Psittacula krameri,39
Pycnonotus cafer,38
Pycnonotus jocosus,36
Pycnonotus luteolus,34
Rubigula gularis,27
Saxicola caprata,31
Sitta frontalis,29
Streptopelia chinensis,37
Terpsiphone paradisi,35
Treron affinis,31
Turdoides affinis,37
Turdoides striata,35
Turdoides subrufa,28
Turdus simillimus,28
Upupa epops,33
Yungipicus nanus,30
Zosterops palpebrosus,28
